1,05:06:00,16:58:00,CHEM102,35
2,23:27:00,06:35:00,ART201,94
3,15:06:00,16:37:00,SPAN101,94
4,12:40:00,01:00:00,ECON201,88
5,17:53:00,01:43:00,ENGL201,54
6,03:51:00,22:37:00,REL101,58
7,01:23:00,07:16:00,CHEM201,29
8,06:39:00,04:59:00,ENGL101,84
9,03:03:00,04:51:00,ART101,42
10,08:41:00,16:57:00,ITAL102,89
11,22:51:00,04:15:00,REL101,18
12,11:35:00,01:05:00,ECON101,60
13,21:04:00,01:28:00,SPAN101,46
14,05:37:00,14:06:00,MUS101,50
15,10:41:00,10:42:00,CHEM102,54
16,00:18:00,05:44:00,ANTH101,20
17,11:17:00,22:45:00,ART201,22
18,09:28:00,22:29:00,BIOL201,73
19,00:18:00,23:56:00,BIOL101,6
20,19:08:00,15:14:00,BIOL102,16
21,07:40:00,06:27:00,PHIL102,38
22,17:03:00,20:58:00,SPAN201,50
23,09:34:00,01:53:00,POLS101,6
24,00:31:00,17:18:00,ART101,98
25,11:51:00,21:28:00,FREN102,31
26,09:23:00,13:07:00,FREN101,97
27,03:34:00,06:26:00,MATH101,94
28,21:39:00,03:29:00,POLS101,62
29,17:25:00,22:11:00,POLS101,19
30,17:42:00,09:31:00,ITAL102,42
31,03:20:00,02:03:00,THEA201,41
32,14:49:00,14:57:00,ECON101,66
33,22:21:00,00:35:00,CHEM102,37
34,16:31:00,01:10:00,ART102,15
35,07:32:00,11:01:00,CHEM201,53
36,23:56:00,17:17:00,MUS101,7
37,16:11:00,13:29:00,BIOL201,14
38,23:46:00,21:59:00,THEA102,25
39,08:54:00,23:54:00,POLS201,8
40,02:26:00,17:02:00,HIST201,48
41,09:50:00,00:42:00,REL101,29
42,04:24:00,14:30:00,MUS102,32
43,19:23:00,12:20:00,BIOL102,44
44,01:56:00,08:49:00,COMP101,15
45,20:05:00,02:48:00,ENGL102,81
46,22:34:00,10:23:00,ART101,31
47,11:49:00,02:16:00,MATH101,40
48,14:55:00,07:41:00,ECON201,65
49,22:09:00,02:32:00,THEA201,11
50,20:38:00,14:08:00,ENGL201,95
51,23:38:00,22:32:00,ITAL102,30
52,08:17:00,20:55:00,ART102,61
53,15:32:00,22:06:00,SPAN201,53
54,05:22:00,07:03:00,MUS102,71
55,02:48:00,19:04:00,PHYS201,84
56,03:07:00,14:32:00,MUS101,33
57,09:11:00,01:54:00,THEA101,21
58,10:33:00,17:24:00,SPAN102,11
59,14:27:00,15:15:00,FREN102,83
60,15:12:00,04:38:00,POLS101,15
61,02:33:00,19:08:00,ECON101,89
62,00:46:00,09:39:00,SPAN101,32
63,23:39:00,01:17:00,THEA201,16
64,17:44:00,01:25:00,HIST102,25
65,10:28:00,01:49:00,PHIL102,18
66,03:50:00,03:26:00,THEA102,17
67,21:08:00,00:17:00,ECON101,93
68,19:27:00,10:38:00,MUS102,81
69,20:15:00,02:10:00,ART201,85
70,22:59:00,01:20:00,ECON102,34
71,20:29:00,06:13:00,COMP101,42
72,18:24:00,11:31:00,POLS102,10
73,23:15:00,06:25:00,ENGL101,58
74,13:30:00,04:58:00,MUS101,73
75,05:27:00,11:44:00,THEA101,13
76,22:38:00,21:41:00,CHEM102,76
77,01:49:00,02:28:00,FREN102,53
78,22:03:00,03:28:00,SPAN102,67
79,05:05:00,18:14:00,ENGL101,71
80,00:45:00,16:40:00,FREN102,26
81,17:46:00,17:30:00,ANTH101,86
82,01:44:00,21:28:00,MUS201,56
83,21:05:00,21:56:00,ART201,48
84,10:29:00,03:07:00,REL101,59
85,16:00:00,08:11:00,FREN201,42
86,00:16:00,20:50:00,REL101,56
87,10:51:00,04:46:00,PHIL102,58
88,06:09:00,17:57:00,CHEM201,42
89,19:16:00,21:59:00,ECON102,96
90,21:50:00,05:23:00,ITAL101,9
91,13:45:00,15:58:00,FREN201,67
92,07:29:00,05:10:00,HIST101,5
93,06:26:00,08:59:00,SPAN101,99
94,23:22:00,14:06:00,ART201,35
95,15:45:00,21:00:00,FREN102,77
96,21:15:00,23:06:00,THEA102,54
97,00:15:00,21:04:00,HIST101,86
98,12:57:00,15:22:00,MUS102,81
99,01:14:00,03:38:00,ENGL201,91
100,11:15:00,09:23:00,FREN201,56
