5,4
16,5
54,5
8,6
13,8
65,8
11,9
94,9
9,11
43,11
7,13
25,14
16,17
57,17
74,17
5,18
82,18
5,20
19,20
15,21
41,21
12,22
73,22
93,22
66,23
41,24
42,25
49,26
73,26
6,27
22,28
64,28
8,29
34,30
79,31
18,32
20,32
37,32
62,32
64,32
48,34
43,35
70,36
72,39
62,40
85,41
80,43
49,44
86,44
93,44
41,46
54,46
18,48
48,48
32,49
26,50
20,51
33,51
4,52
32,52
49,52
20,54
37,54
49,54
89,54
5,55
8,55
9,55
33,55
2,56
16,58
27,58
89,60
1,61
87,61
6,62
70,62
76,62
79,64
91,64
68,65
86,66
10,67
91,67
66,68
18,70
34,70
98,73
100,73
73,74
90,74
55,79
72,80
87,80
29,81
70,81
80,81
79,82
93,83
40,87
