42,2
5,3
27,5
82,5
1,7
5,7
14,7
82,9
24,10
73,12
7,15
27,15
81,15
91,15
29,17
51,17
81,17
83,18
44,19
88,20
66,21
13,24
80,24
8,25
14,25
75,25
24,26
58,26
67,26
4,27
43,28
71,28
54,30
83,31
36,32
61,32
81,33
90,33
48,34
45,35
39,36
88,37
42,38
45,38
98,38
6,39
49,40
70,40
53,41
57,41
49,44
27,45
38,45
53,45
11,47
59,48
93,49
82,51
12,52
22,53
81,53
89,53
75,54
84,56
56,58
70,59
32,60
43,61
94,61
83,62
24,63
47,63
59,64
88,64
30,65
6,66
75,67
48,70
80,70
12,71
68,72
69,73
69,75
60,78
51,79
3,80
87,89
34,91
27,92
39,93
65,93
37,94
10,96
38,96
54,98
25,99
98,99
