67,1,91
11,2,81
38,2,67
95,5,84
7,6,87
52,10,25
24,13,11
38,13,47
73,15,15
51,16,40
63,16,12
78,17,69
99,19,91
85,20,39
23,21,53
10,22,20
78,22,10
66,23,14
97,23,18
26,24,43
53,24,40
61,24,61
62,24,57
20,26,15
66,27,87
10,28,9
62,28,78
4,32,63
100,32,9
7,34,64
42,34,55
2,35,54
38,35,94
37,36,67
52,36,11
75,37,65
9,39,13
87,39,15
37,42,3
42,43,83
13,44,91
31,44,11
50,45,42
64,45,18
21,46,63
98,46,19
94,47,18
5,48,38
8,49,64
51,50,43
67,52,22
6,54,85
18,55,32
37,56,63
44,58,30
89,62,32
40,63,33
70,63,76
76,65,30
97,65,68
8,66,73
8,67,10
19,68,16
72,68,30
12,69,33
15,70,62
43,70,36
95,70,72
13,71,49
36,72,92
49,72,83
57,75,79
88,75,81
37,76,89
36,77,27
37,77,100
73,77,84
14,79,85
72,79,23
58,80,8
72,80,37
62,82,67
27,84,85
48,85,16
57,86,81
81,86,25
14,88,93
91,88,75
28,91,71
42,91,33
51,92,75
51,94,3
32,95,78
35,95,19
54,95,95
11,98,60
13,98,24
13,99,70
68,99,100
95,100,10
