1,Cullinane,328,241,
2,Dodge,421,273,
3,Lake Hall,105,91,
4,West Village,5,233,
5,Behrakis,396,19,
6,West Village,288,66,
7,Cullinane,440,175,
8,East Village,45,270,
9,Robinson,344,122,
10,Ell Hall,314,78,
11,Forsynth,123,247,
12,Hastings,159,210,
13,Hurtig,434,40,
14,Dodge,249,221,
15,Hurtig,414,100,
16,Dodge,143,61,
17,Forsynth,117,97,
18,Dodge,209,32,
19,Lake Hall,59,22,
20,Dodge,432,281,
21,Behrakis,112,238,
22,Hurtig,499,207,
23,Richards,352,113,
24,Robinson,366,27,
25,Lake Hall,221,121,
26,East Village,184,82,
27,Churchill,387,16,
28,Ell Hall,471,283,
29,Cullinane,231,90,
30,Mugar,297,229,
31,Shillman,324,230,
32,Snell Library,144,107,
33,Mugar,439,279,
34,Churchill,472,118,
35,ISEC,389,154,
36,Mugar,386,295,
37,Dodge,268,164,
38,Hastings,175,277,
39,Hastings,407,202,
40,Dodge,470,49,
41,Snell Library,275,187,
42,West Village,327,34,
43,Richards,126,151,
44,ISEC,141,199,
45,Curry Student Center,88,106,
46,Behrakis,495,150,
47,EXP,161,72,
48,Forsynth,415,279,
49,Behrakis,351,28,
50,Behrakis,262,272,
51,Mugar,398,55,
52,West Village,165,167,
53,Shillman,86,283,
54,Lake Hall,36,175,
55,Forsynth,388,261,
56,EXP,481,66,
57,East Village,298,201,
58,Dodge,236,244,
59,Ell Hall,448,44,
60,Snell Library,18,246,
61,Mugar,95,263,
62,Ell Hall,451,147,
63,Lake Hall,277,88,
64,ISEC,57,89,
65,EXP,178,257,
66,Hastings,323,81,
67,Hayden,223,198,
68,Cullinane,151,283,
69,Cullinane,437,235,
70,Mugar,126,26,
71,Online,,272,https://zoom.us.website/join/
72,Online,,109,https://zoom.us.website/join/
73,Online,,150,https://zoom.us.website/join/
74,Online,,298,https://zoom.us.website/join/
75,Online,,291,https://zoom.us.website/join/
76,Online,,170,https://zoom.us.website/join/
77,Online,,236,https://zoom.us.website/join/
78,Online,,147,https://zoom.us.website/join/
79,Online,,127,https://zoom.us.website/join/
80,Online,,207,https://zoom.us.website/join/
81,Online,,204,https://zoom.us.website/join/
82,Online,,57,https://zoom.us.website/join/
83,Online,,75,https://zoom.us.website/join/
84,Online,,115,https://zoom.us.website/join/
85,Online,,200,https://zoom.us.website/join/
86,Online,,84,https://zoom.us.website/join/
87,Online,,31,https://zoom.us.website/join/
88,Online,,65,https://zoom.us.website/join/
89,Online,,198,https://zoom.us.website/join/
90,Online,,146,https://zoom.us.website/join/
91,Online,,268,https://zoom.us.website/join/
92,Online,,163,https://zoom.us.website/join/
93,Online,,94,https://zoom.us.website/join/
94,Online,,224,https://zoom.us.website/join/
95,Online,,104,https://zoom.us.website/join/
96,Online,,33,https://zoom.us.website/join/
97,Online,,181,https://zoom.us.website/join/
98,Online,,136,https://zoom.us.website/join/
99,Online,,178,https://zoom.us.website/join/
100,Online,,158,https://zoom.us.website/join/
