36,ANTH101
24,ART101
16,ART102
38,ART102
65,ART102
79,ART102
25,ART201
57,ART201
93,ART201
77,BIOL101
39,BIOL102
55,BIOL102
62,BIOL102
9,BIOL201
29,BIOL201
66,BIOL201
78,BIOL201
25,CHEM101
62,CHEM101
67,CHEM102
72,CHEM102
76,CHEM201
27,COMP101
4,ECON101
81,ECON101
97,ECON101
30,ECON102
86,ECON102
91,ECON102
16,ECON201
82,ECON201
94,ECON201
100,ECON201
48,ENGL101
80,ENGL101
32,ENGL102
74,ENGL102
88,ENGL102
94,ENGL102
33,FREN101
49,FREN101
29,FREN102
62,FREN102
91,FREN102
8,FREN201
26,FREN201
29,FREN201
63,FREN201
61,HIST101
97,HIST101
15,HIST102
19,HIST102
93,HIST102
21,HIST201
23,HIST201
16,ITAL101
36,ITAL101
72,ITAL101
86,ITAL101
100,ITAL101
51,ITAL102
55,ITAL102
74,ITAL102
27,ITAL201
2,MATH101
42,MATH101
15,MUS101
58,MUS101
10,MUS201
39,MUS201
67,PHIL102
57,PHYS201
11,POLS101
14,POLS101
17,POLS101
8,POLS102
9,POLS102
15,POLS102
16,POLS102
22,POLS102
55,POLS102
6,POLS201
19,POLS201
64,POLS201
2,REL101
68,REL101
68,SPAN101
87,SPAN101
8,SPAN102
51,SPAN102
70,SPAN102
53,SPAN201
55,SPAN201
82,SPAN201
7,THEA201
43,THEA201
72,THEA201
