19,1
52,1
98,1
12,2
20,4
57,5
11,9
12,9
20,13
4,16
10,16
46,16
58,16
34,17
74,17
17,20
26,22
70,22
99,23
43,24
66,25
71,25
9,30
93,30
48,35
76,35
83,35
4,36
42,36
95,37
4,38
63,38
33,41
48,41
27,43
87,43
99,44
91,45
96,45
65,47
67,47
70,48
96,49
89,50
14,51
33,52
39,53
29,54
33,55
75,55
24,56
50,57
27,58
55,58
77,58
84,58
82,60
24,63
78,64
80,66
93,67
6,68
85,69
17,72
6,73
82,74
17,75
48,76
94,77
32,79
57,79
58,79
30,82
83,82
33,84
54,84
43,85
42,87
53,88
27,89
44,90
76,90
91,91
96,91
47,92
17,94
28,95
32,95
17,96
98,96
5,97
69,97
47,98
15,99
92,99
33,100
43,100
