27,ART101
93,ART101
4,ART201
89,ART201
43,BIOL101
94,BIOL101
30,BIOL201
34,BIOL201
47,BIOL201
91,BIOL201
100,BIOL201
92,CHEM101
27,CHEM102
42,CHEM102
62,CHEM102
89,CHEM102
96,CHEM102
26,CHEM201
36,CHEM201
50,CHEM201
67,CHEM201
91,CHEM201
61,COMP101
4,ECON101
26,ECON101
92,ECON101
82,ECON102
20,ECON201
48,ENGL101
93,ENGL101
19,ENGL102
6,FREN101
83,FREN101
19,FREN102
30,FREN102
78,FREN102
11,FREN201
12,FREN201
52,FREN201
8,HIST101
6,HIST102
61,HIST102
72,HIST102
18,ITAL101
40,ITAL101
75,ITAL102
87,ITAL102
73,ITAL201
100,ITAL201
90,MATH101
11,MUS101
72,MUS101
1,MUS102
85,MUS102
13,MUS201
40,MUS201
60,PHIL102
35,PHYS201
56,PHYS201
82,PHYS201
28,POLS101
48,POLS102
28,POLS201
29,POLS201
63,POLS201
70,POLS201
71,POLS201
82,POLS201
96,POLS201
60,REL101
83,REL101
62,SPAN101
66,SPAN101
73,SPAN101
73,SPAN102
18,THEA101
53,THEA101
15,THEA102
22,THEA102
20,THEA201
41,THEA201
